Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   131/65    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
      372    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
       21    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:450(normpath)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       44    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:411(_mk_bitmap)
       77    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\shutil.py:1(<module>)
       91    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:379(__setattr__)
      208    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\datetime.py:1(<module>)
       58    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\bullet.py:23(check_border_collision)
       57    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\bullet.py:44(draw)
       26    0.000    0.000    0.011    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2779(__init__)
       79    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      865    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      480    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:84(<lambda>)
       45    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1190(setName)
    77/62    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3434(__str__)
       48    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:1312(safe_version)
       96    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:203(splitext)
       83    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
      468    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
       27    0.000    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1039(_trim_arity)
        1    0.000    0.000    0.197    0.197 D:\Programmation\Pycharm\Python\Tank-Game\game.py:14(__init__)
    104/2    0.000    0.000    0.153    0.077 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       77    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:224(__init__)
      104    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:285(line)
       70    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
