Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      134    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      133    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
      133    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      132    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
   131/65    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
   131/65    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
      129    0.000    0.000    0.032    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
      128    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:490(<lambda>)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
      120    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
      117    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      112    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:363(__new__)
  112/108    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:372(__init__)
    111/5    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
      108    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      105    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    104/2    0.000    0.000    0.153    0.077 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      104    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:285(line)
      104    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:292(walk_stack)
   102/76    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:461(_get_literal_prefix)
       99    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       97    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4781(<genexpr>)
       96    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:203(splitext)
       96    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\genericpath.py:121(_splitext)
       96    0.000    0.000    0.009    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
       96    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:461(_parse_local_version)
       96    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
       96    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
